names,prices,ranks,ages,countries,clubs,current_matches,goals,own_goals,assists,yellow_cards,second_yellow_cards,red_cards,sub_on,sub_off,code
Marco Asensio,€25.00m,308,26,Spain,Real Madrid,20,3,0,7,0,0,0,14,2,ES
Borja Iglesias,€25.00m,309,29,Spain,Real Betis Balompié,18,8,0,3,0,0,1,6,7,ES
Viktor Tsygankov,€25.00m,310,25,Ukraine,Dynamo Kyiv,25,8,0,6,4,0,0,3,6,UA
Davide Calabria,€25.00m,311,25,Italy,AC Milan,11,0,0,2,3,0,0,0,5,IT
Unai Simón,€25.00m,312,25,Spain,Athletic Bilbao,20,0,0,0,1,0,0,0,0,ES
Renato Sanches,€25.00m,313,25,Portugal,Paris Saint-Germain,13,2,0,0,0,0,0,10,4,PT
Gregor Kobel,€25.00m,314,24,Switzerland,Borussia Dortmund,17,0,0,0,0,0,0,0,1,CH
Amir Rrahmani,€25.00m,315,28,Kosovo,SSC Napoli,16,0,0,0,3,0,0,0,2,0
Iñaki Williams,€25.00m,316,28,Ghana,Athletic Bilbao,18,5,0,1,0,0,0,2,11,GH
Tyrone Mings,€25.00m,317,29,England,Aston Villa,15,0,1,0,3,0,0,1,0,GB
Enes Ünal,€25.00m,318,25,Turkey,Getafe CF,19,6,0,3,3,0,0,1,10,TR
Alex Iwobi,€25.00m,319,26,Nigeria,Everton FC,19,1,0,6,1,0,0,1,1,NG
Reinildo Mandava,€25.00m,320,28,Mozambique,Atlético de Madrid,21,0,0,0,4,0,0,0,2,MZ
Álex Remiro,€25.00m,321,27,Spain,Real Sociedad,20,0,0,0,0,0,0,0,0,ES
Mario Pasalic,€25.00m,322,27,Croatia,Atalanta BC,21,2,0,2,1,0,0,5,14,HR
Ruben Loftus-Cheek,€25.00m,323,26,England,Chelsea FC,20,0,1,1,1,0,0,6,6,GB
Federico Dimarco,€25.00m,324,25,Italy,Inter Milan,26,4,0,4,1,0,0,6,16,IT
Timo Werner,€25.00m,325,26,Germany,RB Leipzig,22,11,0,6,2,0,0,5,12,DE
Giovanni Di Lorenzo,€25.00m,326,29,Italy,SSC Napoli,25,2,0,3,2,0,0,0,4,IT
Álvaro Morata,€25.00m,327,30,Spain,Atlético de Madrid,24,7,0,1,3,0,0,4,18,ES
Antoine Griezmann,€25.00m,328,31,France,Atlético de Madrid,27,6,0,6,0,0,0,11,8,FR
Emiliano Martínez,€25.00m,329,30,Argentina,Aston Villa,18,0,0,0,2,0,0,0,1,AR
Christian Eriksen,€25.00m,330,30,Denmark,Manchester United,26,2,0,7,1,0,0,4,8,DK
Ilkay Gündogan,€25.00m,331,32,Germany,Manchester City,27,4,0,2,1,0,0,6,12,DE
Gonçalo Ramos,€24.00m,332,21,Portugal,SL Benfica,22,15,0,7,3,1,0,1,18,PT
André Silva,€24.00m,333,27,Portugal,RB Leipzig,27,7,0,7,1,0,0,8,11,PT
Filip Kostić,€24.00m,334,30,Serbia,Juventus FC,28,1,0,8,3,0,0,5,15,RS
Gonçalo Inácio,€23.00m,335,21,Portugal,Sporting CP,20,0,0,2,4,0,0,1,2,PT
Nicolás González,€23.00m,336,24,Argentina,ACF Fiorentina,10,4,0,0,0,0,0,6,2,AR
Eljif Elmas,€23.00m,337,23,North Macedonia,SSC Napoli,28,3,0,1,4,0,0,15,9,0
Rafa Silva,€23.00m,338,29,Portugal,SL Benfica,23,11,0,5,5,0,0,0,16,PT
Domenico Berardi,€23.00m,339,28,Italy,US Sassuolo,8,2,0,0,1,0,0,3,2,IT
Ciro Immobile,€23.00m,340,32,Italy,SS Lazio,15,7,0,5,3,0,0,1,5,IT
Evanilson,€22.00m,341,23,Brazil,FC Porto,22,8,0,6,1,0,0,4,18,BR
Piero Hincapié,€22.00m,342,20,Ecuador,Bayer 04 Leverkusen,19,1,0,0,6,2,0,2,3,EC
Rayan Aït-Nouri,€22.00m,343,21,France,Wolverhampton Wanderers,12,0,1,1,1,0,0,3,3,FR
Michael Olise,€22.00m,344,20,France,Crystal Palace,15,1,0,2,1,0,0,5,7,FR
Destiny Udogie,€22.00m,345,19,Italy,Udinese Calcio,14,2,0,1,4,0,0,2,4,IT
Illan Meslier,€22.00m,346,22,France,Leeds United,16,0,0,0,0,0,0,0,0,FR
Pepê,€22.00m,347,25,Brazil,FC Porto,21,2,0,5,1,0,0,1,10,BR
Luis Sinisterra,€22.00m,348,23,Colombia,Leeds United,12,6,0,1,1,1,0,5,6,CO
David Neres,€22.00m,349,25,Brazil,SL Benfica,20,7,0,8,3,0,0,3,14,BR
Nathan Collins,€22.00m,350,21,Ireland,Wolverhampton Wanderers,21,1,0,1,2,0,1,0,0,IE
Curtis Jones,€22.00m,351,21,England,Liverpool FC,7,0,0,0,0,0,0,5,1,GB
Matty Cash,€22.00m,352,25,Poland,Aston Villa,17,1,0,0,3,0,0,3,4,PL
Ezri Konsa,€22.00m,353,25,England,Aston Villa,16,0,0,0,2,0,0,1,1,GB
Ismaïla Sarr,€22.00m,354,24,Senegal,Watford FC,18,6,0,3,0,0,0,1,10,SN
Vitaliy Mykolenko,€22.00m,355,23,Ukraine,Everton FC,20,1,0,0,3,0,0,1,2,UA
Davide Frattesi,€22.00m,356,23,Italy,US Sassuolo,20,4,0,0,2,0,0,1,13,IT
Ryan Sessegnon,€22.00m,357,22,England,Tottenham Hotspur,18,2,0,0,4,0,0,6,7,GB
Hamed Junior Traorè,€22.00m,358,22,Cote d'Ivoire,US Sassuolo,6,0,0,1,0,0,0,4,2,0
Lovro Majer,€22.00m,359,24,Croatia,Stade Rennais FC,25,3,0,4,3,0,0,10,12,HR
Giovani Lo Celso,€22.00m,360,26,Argentina,Villarreal CF,15,1,0,1,2,0,0,3,10,AR
Ché Adams,€22.00m,361,26,Scotland,Southampton FC,21,7,0,2,1,0,0,3,9,0
Sean Longstaff,€22.00m,362,25,England,Newcastle United,17,1,0,2,2,0,0,4,1,GB
Trevoh Chalobah,€22.00m,363,23,England,Chelsea FC,14,0,1,0,2,0,0,1,1,GB
Nicolas Pépé,€22.00m,364,27,Cote d'Ivoire,OGC Nice,19,6,0,2,0,0,0,3,10,0
Rico Henry,€22.00m,365,25,England,Brentford FC,16,0,0,1,0,0,0,0,2,GB
Tyrell Malacia,€22.00m,366,23,Netherlands,Manchester United,18,0,0,1,2,0,0,4,4,NL
Malcom,€22.00m,367,25,Brazil,Zenit St. Petersburg,22,15,0,7,2,0,0,2,13,BR
Caglar Söyüncü,€22.00m,368,26,Turkey,Leicester City,8,0,0,0,1,0,0,0,4,TR
Saïd Benrahma,€22.00m,369,27,Algeria,West Ham United,23,4,0,2,0,0,0,10,8,DZ
Mattia Zaccagni,€22.00m,370,27,Italy,SS Lazio,18,5,0,4,3,0,0,1,10,IT
Aleksandr Golovin,€22.00m,371,26,Russia,AS Monaco,22,3,0,4,3,0,0,3,15,0
David Raya,€22.00m,372,27,Spain,Brentford FC,17,0,0,0,0,0,0,1,0,ES
Dean Henderson,€22.00m,373,25,England,Nottingham Forest,15,0,0,0,2,0,0,0,0,GB
Gabriel Barbosa,€22.00m,374,26,Brazil,Clube de Regatas do Flamengo,0,0,0,0,0,0,0,0,0,BR
Thilo Kehrer,€22.00m,375,26,Germany,West Ham United,23,0,1,0,5,0,0,3,0,DE
Xaver Schlager,€22.00m,376,25,Austria,RB Leipzig,26,2,0,1,2,0,0,3,6,AT
Adam Webster,€22.00m,377,27,England,Brighton & Hove Albion,14,0,1,0,1,0,0,1,0,GB
Djibril Sow,€22.00m,378,25,Switzerland,Eintracht Frankfurt,30,2,1,0,6,0,0,3,7,CH
James Tarkowski,€22.00m,379,30,England,Everton FC,16,0,0,0,2,0,0,1,0,GB
Leander Dendoncker,€22.00m,380,27,Belgium,Aston Villa,16,1,0,0,0,0,0,7,4,BE
Lucas Digne,€22.00m,381,29,France,Aston Villa,14,2,1,0,2,0,0,2,2,FR
Weston McKennie,€21.00m,382,24,United States,Juventus FC,19,3,0,1,1,0,0,4,9,US
Endrick,€20.00m,383,16,Brazil,Sociedade Esportiva Palmeiras,0,0,0,0,0,0,0,0,0,BR
Mathys Tel,€20.00m,384,17,France,Bayern Munich,17,7,0,2,1,0,0,11,3,FR
Odilon Kossounou,€20.00m,385,21,Cote d'Ivoire,Bayer 04 Leverkusen,18,0,0,1,1,0,0,6,2,0
Benjamin Sesko,€20.00m,386,19,Slovenia,Red Bull Salzburg,32,11,0,5,1,0,0,8,16,SI
João Pedro,€20.00m,387,21,Brazil,Watford FC,17,6,0,2,2,0,0,3,5,BR
Castello Lukeba,€20.00m,388,19,France,Olympique Lyon,16,1,0,0,2,0,0,1,0,FR
Éderson,€20.00m,389,23,Brazil,Atalanta BC,13,0,0,0,1,0,0,5,5,BR
Jean-Clair Todibo,€20.00m,390,22,France,OGC Nice,20,0,0,0,2,1,2,0,0,FR
Strahinja Pavlovic,€20.00m,391,21,Serbia,Red Bull Salzburg,24,2,0,3,6,1,0,1,4,RS
Giorgio Scalvini,€20.00m,392,18,Italy,Atalanta BC,15,1,0,0,3,0,0,4,5,IT
Oihan Sancet,€20.00m,393,22,Spain,Athletic Bilbao,14,3,0,0,2,0,0,1,12,ES
Fábio Carvalho,€20.00m,394,20,Portugal,Liverpool FC,17,2,0,0,0,0,0,10,5,PT
Max Kilman,€20.00m,395,25,England,Wolverhampton Wanderers,17,0,0,0,0,0,0,0,0,GB
Matheus Cunha,€20.00m,396,23,Brazil,Atlético de Madrid,18,0,0,2,3,0,0,16,2,BR
Yunus Musah,€20.00m,397,19,United States,Valencia CF,12,0,0,2,5,0,0,1,5,US
Luka Sucic,€20.00m,398,20,Croatia,Red Bull Salzburg,22,0,0,4,5,0,0,5,8,HR
David Carmo,€20.00m,399,23,Portugal,FC Porto,14,0,0,0,4,0,0,0,1,PT
Renan Lodi,€20.00m,400,24,Brazil,Nottingham Forest,9,1,0,0,1,0,0,2,3,BR
Kiernan Dewsbury-Hall,€20.00m,401,24,England,Leicester City,16,1,0,2,1,0,0,2,6,GB
Brennan Johnson,€20.00m,402,21,Wales,Nottingham Forest,21,4,0,1,3,0,0,4,5,0
Maxence Lacroix,€20.00m,403,22,France,VfL Wolfsburg,11,1,0,0,0,0,0,1,3,FR
Andreas Skov Olsen,€20.00m,404,22,Denmark,Club Brugge KV,27,10,0,4,3,0,0,5,17,DK
Pedro,€20.00m,405,25,Brazil,Clube de Regatas do Flamengo,1,1,0,0,0,0,0,1,0,BR
Caio Henrique,€20.00m,406,25,Brazil,AS Monaco,20,1,1,6,2,0,0,2,3,BR
Nikola Milenković,€20.00m,407,25,Serbia,ACF Fiorentina,21,2,1,1,3,0,0,3,2,RS
Francisco Trincão,€20.00m,408,22,Portugal,Sporting CP,20,5,0,1,1,0,0,3,10,PT
Pascal Struijk,€20.00m,409,23,Netherlands,Leeds United,14,1,0,1,2,0,0,1,1,NL
Ademola Lookman,€20.00m,410,25,Nigeria,Atalanta BC,17,7,0,3,1,0,0,5,11,NG
Nicolas Seiwald,€20.00m,411,21,Austria,Red Bull Salzburg,30,1,0,2,2,0,0,3,5,AT
Samuel Chukwueze,€20.00m,412,23,Nigeria,Villarreal CF,22,5,0,6,2,0,0,9,8,NG
Houssem Aouar,€20.00m,413,24,France,Olympique Lyon,6,1,0,0,2,0,0,0,6,FR
Arthur Theate,€20.00m,414,22,Belgium,Stade Rennais FC,22,2,1,0,5,0,0,0,1,BE
Patson Daka,€20.00m,415,24,Zambia,Leicester City,16,3,0,2,2,0,0,7,7,ZM
Moise Kean,€20.00m,416,22,Italy,Juventus FC,18,5,0,0,2,0,0,11,7,IT
Pervis Estupiñán,€20.00m,417,24,Ecuador,Brighton & Hove Albion,13,0,0,1,4,0,0,4,7,EC
Nordi Mukiele,€20.00m,418,25,France,Paris Saint-Germain,17,0,0,1,0,0,0,10,1,FR
Denis Zakaria,€20.00m,419,26,Switzerland,Chelsea FC,7,1,0,0,1,0,0,3,2,CH
Donyell Malen,€20.00m,420,23,Netherlands,Borussia Dortmund,17,1,0,3,1,0,0,4,12,NL
Christoph Baumgartner,€20.00m,421,23,Austria,TSG 1899 Hoffenheim,22,5,0,3,3,0,0,3,14,AT
Andrea Pinamonti,€20.00m,422,23,Italy,US Sassuolo,16,3,0,0,2,0,0,2,7,IT
Brahim Díaz,€20.00m,423,23,Spain,AC Milan,17,4,0,1,3,0,0,5,12,ES
Mehdi Taremi,€20.00m,424,30,Iran,FC Porto,22,14,0,8,4,1,0,1,11,0
Naby Keïta,€20.00m,425,27,Guinea,Liverpool FC,1,0,0,0,0,0,0,1,0,GN
David García,€20.00m,426,28,Spain,CA Osasuna,12,1,0,0,6,0,1,0,2,ES
Taiwo Awoniyi,€20.00m,427,25,Nigeria,Nottingham Forest,16,3,0,0,0,0,0,9,7,NG
Nikola Vlasic,€20.00m,428,25,Croatia,Torino FC,23,4,0,4,1,0,0,6,5,HR
Borna Sosa,€20.00m,429,24,Croatia,VfB Stuttgart,16,1,0,8,4,0,0,3,5,HR
Jonathan Bamba,€20.00m,430,26,France,LOSC Lille,15,4,0,3,3,0,0,1,3,FR
Wout Faes,€20.00m,431,24,Belgium,Leicester City,14,0,1,0,3,0,0,1,1,BE
Demarai Gray,€20.00m,432,26,England,Everton FC,17,3,0,0,1,0,0,1,7,GB
Donny van de Beek,€20.00m,433,25,Netherlands,Manchester United,7,0,0,0,0,0,0,4,3,NL
Ramy Bensebaini,€20.00m,434,27,Algeria,Borussia Mönchengladbach,19,6,1,0,3,1,0,1,4,DZ
Sergio Reguilón,€20.00m,435,25,Spain,Atlético de Madrid,1,0,0,0,0,0,0,1,0,ES
Florian Neuhaus,€20.00m,436,25,Germany,Borussia Mönchengladbach,7,1,0,0,0,0,0,0,3,DE
Angeliño,€20.00m,437,25,Spain,TSG 1899 Hoffenheim,15,1,0,4,1,0,0,1,2,ES
Miguel Almirón,€20.00m,438,28,Paraguay,Newcastle United,19,8,0,1,0,0,0,1,11,PY
Ricardo Horta,€20.00m,439,28,Portugal,SC Braga,26,8,0,6,3,0,0,5,4,PT
Wilmar Barrios,€20.00m,440,29,Colombia,Zenit St. Petersburg,20,2,0,2,4,0,0,0,5,CO
Daniel Podence,€20.00m,441,27,Portugal,Wolverhampton Wanderers,17,2,0,1,3,0,0,5,4,PT
Breel Embolo,€20.00m,442,25,Switzerland,AS Monaco,30,10,0,4,4,0,0,9,13,CH
Joaquín Correa,€20.00m,443,28,Argentina,Inter Milan,20,4,0,3,1,0,0,14,6,AR
Philipp Lienhart,€20.00m,444,26,Austria,SC Freiburg,23,0,0,0,2,0,0,1,2,AT
Bryan Cristante,€20.00m,445,27,Italy,AS Roma,27,1,0,2,6,0,0,2,7,IT
Jonathan Tah,€20.00m,446,26,Germany,Bayer 04 Leverkusen,22,1,0,0,5,0,0,3,2,DE
Álex Moreno,€20.00m,447,29,Spain,Real Betis Balompié,17,0,0,3,1,0,0,4,0,ES
Alejandro Grimaldo,€20.00m,448,27,Spain,SL Benfica,24,3,0,5,4,0,0,0,5,ES
Ben Davies,€20.00m,449,29,Wales,Tottenham Hotspur,20,2,0,1,1,0,0,3,3,0
Nico Elvedi,€20.00m,450,26,Switzerland,Borussia Mönchengladbach,20,2,0,0,2,0,0,1,1,CH
Fred,€20.00m,451,29,Brazil,Manchester United,17,1,0,0,3,0,0,9,5,BR
Raphaël Guerreiro,€20.00m,452,28,Portugal,Borussia Dortmund,21,3,0,4,2,0,0,2,7,PT
Memphis Depay,€20.00m,453,28,Netherlands,FC Barcelona,7,4,0,1,0,0,0,2,3,NL
Matteo Politano,€20.00m,454,29,Italy,SSC Napoli,22,4,0,4,3,0,0,8,14,IT
Wissam Ben Yedder,€20.00m,455,32,France,AS Monaco,22,10,0,3,1,0,0,2,13,FR
Geoffrey Kondogbia,€20.00m,456,29,Central African Republic,Atlético de Madrid,14,0,0,1,5,0,0,4,4,CF
Matthias Ginter,€20.00m,457,28,Germany,SC Freiburg,24,3,0,4,3,0,0,1,1,DE
Marcel Sabitzer,€20.00m,458,28,Austria,Bayern Munich,30,2,0,3,7,0,0,13,8,AT
Pablo Sarabia,€20.00m,459,30,Spain,Paris Saint-Germain,23,2,0,1,3,0,0,12,10,ES
Sergio Canales,€20.00m,460,31,Spain,Real Betis Balompié,17,3,0,0,2,1,0,4,5,ES
Toni Kroos,€20.00m,461,32,Germany,Real Madrid,18,1,0,4,1,1,0,2,7,DE
Cristiano Ronaldo,€20.00m,462,37,Portugal,Manchester United,21,5,0,4,4,0,0,7,2,PT
Wendel,€19.00m,463,25,Brazil,Zenit St. Petersburg,21,8,0,3,2,0,0,2,13,BR
Giorgian de Arrascaeta,€19.00m,464,28,Uruguay,Clube de Regatas do Flamengo,2,0,0,0,0,0,0,2,0,UY
Vanderson,€18.00m,465,21,Brazil,AS Monaco,22,0,0,2,2,1,0,6,8,BR
Kamaldeen Sulemana,€18.00m,466,20,Ghana,Stade Rennais FC,16,1,0,3,2,0,0,11,4,GH
Elye Wahi,€18.00m,467,19,France,Montpellier HSC,16,7,0,1,4,0,0,2,8,FR
Rayan Cherki,€18.00m,468,19,France,Olympique Lyon,14,0,0,5,1,0,0,13,1,FR
Aaron Hickey,€18.00m,469,20,Scotland,Brentford FC,13,0,0,0,5,0,0,3,7,0
Dwight McNeil,€18.00m,470,22,England,Everton FC,17,2,0,0,2,0,0,8,6,GB
Sofiane Diop,€18.00m,471,22,France,OGC Nice,17,2,0,3,0,0,0,7,7,FR
Xavi Simons,€18.00m,472,19,Netherlands,PSV Eindhoven,24,10,0,4,4,0,0,3,13,NL
Mohammed Salisu,€18.00m,473,23,Ghana,Southampton FC,18,1,1,1,4,0,0,1,2,GH
Nuno Tavares,€18.00m,474,22,Portugal,Olympique Marseille,21,3,0,1,5,0,0,3,5,PT
Neco Williams,€18.00m,475,21,Wales,Nottingham Forest,20,0,0,0,4,0,0,5,3,0
Jérémy Doku,€18.00m,476,20,Belgium,Stade Rennais FC,13,0,0,2,0,0,0,11,2,BE
Aaron Wan-Bissaka,€18.00m,477,24,England,Manchester United,1,0,0,0,0,0,0,1,0,GB
Manuel Ugarte,€18.00m,478,21,Uruguay,Sporting CP,21,0,0,0,7,0,0,5,9,UY
Max Aarons,€18.00m,479,22,England,Norwich City,24,1,0,0,4,0,0,4,3,GB
Armel Bella-Kotchap,€18.00m,480,20,Germany,Southampton FC,13,0,0,1,1,0,0,2,3,DE
Eric García,€18.00m,481,21,Spain,FC Barcelona,17,1,0,1,2,0,0,3,4,ES
Calvin Bassey,€18.00m,482,22,Nigeria,Ajax Amsterdam,21,1,0,4,2,0,1,1,2,NG
Nahuel Molina,€18.00m,483,24,Argentina,Atlético de Madrid,21,0,0,0,2,0,1,2,4,AR
Claudinho,€18.00m,484,25,Brazil,Zenit St. Petersburg,18,3,0,8,0,1,0,4,9,BR
Manor Solomon,€18.00m,485,23,Israel,Fulham FC,4,2,0,1,0,0,0,1,1,IL
Tommaso Pobega,€18.00m,486,23,Italy,AC Milan,18,1,0,0,2,0,0,13,3,IT
Josip Sutalo,€18.00m,487,22,Croatia,GNK Dinamo Zagreb,19,1,0,0,2,0,0,1,2,HR
Sasa Kalajdzic,€18.00m,488,25,Austria,Wolverhampton Wanderers,6,0,0,3,1,0,0,0,5,AT
Arthur Melo,€18.00m,489,26,Brazil,Liverpool FC,3,0,0,0,1,0,0,1,1,BR
Alfonso Pedraza,€18.00m,490,26,Spain,Villarreal CF,12,1,0,2,1,0,0,0,5,ES
Ben Godfrey,€18.00m,491,24,England,Everton FC,1,0,0,0,0,0,0,0,1,GB
Gerson,€18.00m,492,25,Brazil,Olympique Marseille,13,2,0,0,1,0,0,5,8,BR
Eddie Nketiah,€18.00m,493,23,England,Arsenal FC,19,3,0,1,0,0,0,12,2,GB
Konstantinos Tsimikas,€18.00m,494,26,Greece,Liverpool FC,22,0,0,5,1,0,0,7,4,GR
Umar Sadiq,€18.00m,495,25,Nigeria,Real Sociedad,6,3,0,0,1,0,0,1,4,NG
Robin Koch,€18.00m,496,26,Germany,Leeds United,15,0,1,0,3,0,0,1,1,DE
Philip Billing,€18.00m,497,26,Denmark,AFC Bournemouth,16,4,0,1,1,0,0,3,10,DK
Lukas Nmecha,€18.00m,498,23,Germany,VfL Wolfsburg,17,4,0,2,3,0,0,5,6,DE
Moussa Niakhaté,€18.00m,499,26,Senegal,Nottingham Forest,2,0,0,0,0,0,0,0,2,SN
Yerry Mina,€18.00m,500,28,Colombia,Everton FC,2,0,0,0,2,0,0,0,1,CO
